105	962	0	fcc53ce6	a65c	fc763305	b6f2	0	0	0	0	
106	5688	255	fef9db23	0	0	0	0	0	0	0	
107	69	255	fef9db23	a40b	0	0	0	0	0	0	
108	7946	255	892c49	0	11c911f	0	0	0	0	0	
109	2016	0	ff258bf2	ffff66dc	ffc65f0c	ffffdd78	0	0	0	0	
110	2016	0	fa67f605	9924	feb53691	2288	0	0	0	0	
111	61	213	da740e	1afc4	0	0	0	0	0	0	
112	4953	255	140eac2	0	0	0	0	0	0	0	
113	61	255	3453ad	fffe503c	0	0	0	0	0	0	
114	7041	255	ff68bc0f	0	ff29e6bb	0	0	0	0	0	
115	61	213	0	0	da740e	1afc4	0	0	0	0	
116	6995	255	0	0	140eac2	0	0	0	0	0	
117	61	255	0	0	3453ad	fffe503c	0	0	0	0	
118	1208	0	ff634892	ffff8490	ff258bf2	ffff53ef	0	0	0	0	
119	1208	0	fd1d1b81	7b70	fbfa074f	ac11	0	0	0	0	
120	7302	255	ff5e7041	0	ce7091	0	0	0	0	0	
121	1208	0	0	0	ff258bf2	ffff53ef	0	0	0	0	
122	1208	0	0	0	fbfa074f	ac11	0	0	0	0	
123	7302	255	a18fbf	0	ce7091	0	0	0	0	0	
124	1379	0	ff258bf2	ffff59e0	ff4af088	ffff7512	0	0	0	0	
125	1310	0	fba71dc9	a60f	fc591a63	8865	0	0	0	0	
126	7302	255	ff5e7041	0	ce7091	0	0	0	0	0	
127	1208	0	0	0	ff258bf2	ffff53ef	0	0	0	0	
128	1208	0	0	0	fbfa074f	ac11	0	0	0	0	
129	7302	255	a18fbf	0	ce7091	0	0	0	0	0	
130	1581	0	ff4534e2	ffff7652	ff258bf2	ffff5efc	0	0	0	0	
131	1581	0	fbf35908	89ae	fb43a4de	a104	0	0	0	0	
132	61	213	0	0	da740e	1afc4	0	0	0	0	
133	6995	255	0	0	140eac2	0	0	0	0	0	
134	61	255	0	0	3453ad	fffe503c	0	0	0	0	
135	1375	0	ff258bf2	ffff58b8	0	0	0	0	0	0	
136	765	0	fba3679c	90ce	0	0	0	0	0	0	
137	1325	255	ff0892bd	0	ffa9668f	0	0	0	0	0	
138	1150	255	ff46a2de	0	ff46a2de	0	0	0	0	0	
139	895	255	ff92257b	0	ff11fbe1	0	0	0	0	0	
140	1325	255	ffa9668f	0	ff0892bd	0	0	0	0	0	
141	2000	255	0	0	fef9db23	0	0	0	0	0	
142	1325	255	569971	0	ff0892bd	0	0	0	0	0	
143	895	255	6dda85	0	ff11fbe1	0	0	0	0	0	
144	1150	255	b95d22	0	ff46a2de	0	0	0	0	0	
145	1325	255	f76d43	0	ffa9668f	0	0	0	0	0	
146	2813	255	10624dd	0	0	0	0	0	0	0	
147	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
148	61	213	0	0	da740e	1afc4	0	0	0	0	
149	6995	255	0	0	140eac2	0	0	0	0	0	
150	61	255	0	0	3453ad	fffe503c	0	0	0	0	
151	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
152	2298	255	febf153e	0	0	0	0	0	0	0	
153	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
154	3415	0	da740e	8a7f	360e86	1f09	0	0	0	0	
155	1880	0	811a4d5	0	1da7f51	0	0	0	0	0	
156	3415	0	8167108	ffff7581	1d1c84e	ffffe0f7	0	0	0	0	
157	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
158	1481	255	febf153e	0	0	0	0	0	0	0	
159	713	255	ff0317cc	0	ffbb067d	0	0	0	0	0	
160	313	255	ff62b6ae	0	ff2e48e9	0	0	0	0	0	
161	420	255	ff8ac401	0	ff158802	0	0	0	0	0	
162	438	255	0	0	fef9db23	0	0	0	0	0	
163	476	255	67437a	0	ff0f0d39	0	0	0	0	0	
164	266	255	b95d22	0	ff46a2de	0	0	0	0	0	
165	732	255	f65c78	0	ffa66a03	0	0	0	0	0	
